,close,累计投入资金,累计基金份额,累计基金市值,平均基金成本,盈亏,盈亏多少钱,code
2020-06-23,1.83000004,328200,260062.37,475914.15,0.69,0.45,147714.15,000376
2020-06-19,2.70169997,327600,174725.06,472054.69,0.69,0.44,144454.69,000039
2020-06-22,1.09500003,327900,330231.42,361603.41,0.91,0.1,33703.41,000398
2020-06-23,2.38700008,328200,205407.24,490307.1,0.67,0.49,162107.1,000408
2020-06-24,2.53600001,328500,203113.64,515096.19,0.64,0.57,186596.19,000409
2020-06-18,1.15100002,311100,337427.81,388379.42,0.8,0.25,77279.42,000041
2020-06-24,3.50900006,328500,121640.6,426836.87,0.77,0.3,98336.87,000410
2020-06-23,1.26800001,328200,276479.85,350576.45,0.94,0.07,22376.45,000414
2020-02-25,1.30209994,303900,287654.26,374554.59,0.81,0.23,70654.59,000417
2019-04-09,1.90359998,239700,157115.42,299084.91,0.8,0.25,59384.91,000042
2020-05-18,1.94299996,320400,243776.07,473656.89,0.68,0.48,153256.89,000423
2020-06-23,2.40300012,328200,197426.75,474416.5,0.69,0.45,146216.5,000043
2020-06-24,2.26799989,328500,254584.13,577396.78,0.57,0.76,248896.78,000431
2020-06-24,2.2249999,328500,210254.23,467815.64,0.7,0.42,139315.64,000432
2020-06-22,1.40199995,327900,276957.42,388294.29,0.84,0.18,60394.29,000433
2019-03-06,1.83399999,232800,138616.96,254223.5,0.92,0.09,21423.5,000436
2020-06-23,2.07399988,328200,217370.92,450827.26,0.73,0.37,122627.26,000044
2020-06-23,3.27999997,328200,207891.03,681882.57,0.48,1.08,353682.57,000452
2020-06-23,1.85259998,328200,296608.16,549496.27,0.6,0.67,221296.27,000462
2020-06-24,1.73099995,328500,210605.81,364558.65,0.9,0.11,36058.65,000471
2020-06-24,1.98899996,328500,205886.33,409507.9,0.8,0.25,81007.9,000477
2020-06-24,2.29789996,328500,157797.47,362602.8,0.91,0.1,34102.8,000478
2020-01-20,2.6329999,297900,136877.82,360399.29,0.83,0.21,62499.29,000480
2020-01-02,1.17299998,285900,286020.4,335501.92,0.85,0.17,49601.92,000049
2020-02-24,1.49039996,303600,271261.7,404288.43,0.75,0.33,100688.43,000496
2020-03-05,1.31900001,133500,109626.67,144597.58,0.92,0.08,11097.58,000507
2020-03-05,1.27699995,306000,264927.78,338312.76,0.9,0.11,32312.76,000508
2020-03-05,1.40400004,306000,264705.2,371646.11,0.82,0.21,65646.11,000051
2018-01-23,1.76800001,151800,99709.28,176286.01,0.86,0.16,24486.01,000511
2018-01-23,2.10599995,151800,86437.14,182036.61,0.83,0.2,30236.61,000512
2020-06-24,2.77399993,140400,82780.75,229633.79,0.61,0.64,89233.79,000513
2020-06-10,0.4454,318000,1120494.74,499068.36,0.64,0.57,181068.36,000055
2020-06-24,2.56200004,328500,184562.69,472849.62,0.69,0.44,144349.62,000056
2020-06-19,1.86199999,327600,231930.97,431855.46,0.76,0.32,104255.46,000057
2020-03-05,1.25440001,306000,291085.27,365137.37,0.84,0.19,59137.37,000058
2020-06-17,1.2938,327000,319772.13,413721.18,0.79,0.27,86721.18,000059
2020-06-24,1.5711,92700,80719.17,126817.89,0.73,0.37,34117.89,000006
2020-02-25,0.92699999,303900,386731.62,358500.21,0.85,0.18,54600.21,000061
2020-02-25,2.148,303900,188703.04,405334.13,0.75,0.33,101434.13,000063
2020-06-19,1.65199995,327600,226420.9,374047.32,0.88,0.14,46447.32,000065
2020-06-23,1.27540004,328200,298445.68,380637.63,0.86,0.16,52437.63,000066
2020-01-13,1.60290003,288900,214016.17,343046.53,0.84,0.19,54146.53,000071
2020-05-08,1.16980004,318600,290275.58,339564.39,0.94,0.07,20964.39,000072
2020-06-23,2.04699993,328200,269787.53,552255.06,0.59,0.68,224055.06,000073
2018-01-26,0.25940001,149400,807573.78,209484.65,0.71,0.4,60084.65,000075
2017-10-13,1.83770001,130200,77243.5,141950.38,0.92,0.09,11750.38,000008
2020-06-24,1.42299998,328500,263729.54,375287.13,0.88,0.14,46787.13,000082
2020-06-23,6.04699993,328200,109383.85,661444.13,0.5,1.02,333244.13,000083
2020-04-29,1.09189999,317400,295711.43,322887.31,0.98,0.02,5487.31,000087
2020-04-29,1.08749998,222900,210772.54,229215.13,0.97,0.03,6315.13,000088
