trade_code,name
3416,招商财经大数据股票
3429,中证兴业中高等级信用债指数
3475,前海联合沪深300指数A
3492,前海开源外向企业股票
3548,泰达宏利沪深300指数增强C
3622,创金合信优价成长股票A
3623,创金合信优价成长股票C
3624,创金合信资源股票发起式A
3625,创金合信资源股票发起式C
3634,嘉实农业产业股票
3646,创金合信中证1000指数增强A
3647,创金合信中证1000指数增强C
3718,易方达标普500指数美元汇
3745,广发多元新兴股票
3817,银华上证5年期国债指数A
3818,银华上证5年期国债指数C
3834,华夏能源革新股票
3853,金鹰信息产业股票A
3865,创金合信量化多因子股票C
3884,汇安沪深300指数增强A
3885,汇安沪深300指数增强C
3956,南方教育股票
3984,嘉实新能源新材料股票A
3985,嘉实新能源新材料股票C
3986,申万菱信中证500指数优选增强
3987,银华中债10年期金融债指数
3988,银华中债10年期金融债指数
3989,银华中债5年期金融债指数A
3990,银华中债5年期金融债指数C
3995,银华中债AAA信用债指数A
3996,银华中债AAA信用债指数C
4075,交银医药创新股票
4085,工银国债(7-10年)指数
4086,工银国债(7-10年)指数
4190,招商沪深300指数增强A
4191,招商沪深300指数增强C
4192,招商中证500指数A
4193,招商中证500指数C
4194,招商中证1000指数增强A
4195,招商中证1000指数增强C
4241,中欧时代先锋股票C
4243,广发道琼斯石油指数人民币C
4272,中融量化小盘股票A
4273,中融量化小盘股票C
4292,鹏华沪深港互联网股票
4350,汇丰晋信价值先锋股票
4408,招商深证100指数C
4410,招商央视财经50指数C
4450,嘉实前沿科技沪港深股票
4482,泰达宏利港股通股票A
4483,泰达宏利港股通股票C
4484,泰达宏利业绩股票A
4485,泰达宏利业绩股票C
4532,民生加银中证港股通指数A
4533,民生加银中证港股通指数C
4606,上投摩根优选多因子股票
4616,中欧电子信息产业沪港深股票
4640,华夏节能环保股票
4683,建信高端医疗股票
4686,华夏研究精选股票
4698,博时军工主题股票
4716,信诚量化阿尔法股票
4730,建信量化事件驱动股票
4746,易方达上证50指数C
4784,招商稳健优选股票
4788,富荣沪深300指数增强A
4789,富荣沪深300指数增强C
4790,富荣中证500指数A
4791,富荣中证500指数C
4805,长信消费精选量化股票
4812,中欧先进制造股票A
4813,中欧先进制造股票C
4851,广发医疗保健股票
4854,广发中证全指汽车指数A
4855,广发中证全指汽车指数C
4856,广发中证全指建筑材料指数A
4857,广发中证全指建筑材料指数C
4858,长信量化多策略股票C
4870,融通创业板指数C
4874,融通巨潮100指数C
4875,融通深证成份指数C
4876,融通深证100指数C
4925,长信低碳环保行业量化股票
4945,长信中证500指数增强
4995,广发品牌消费股票发起式
4996,广发恒生中型股指数C
4997,广发高端制造股票
5009,申万菱信行业轮动股票
5033,银华智能汽车量化股票发起式A
5034,银华智能汽车量化股票发起式C
5035,银华信息科技量化股票发起式
5036,银华信息科技量化股票发起式
5051,上投标普港股通低波红利指数
5052,上投标普港股通低波红利指数C
5062,博时中证500指数增强A
5063,广发中证全指家用电器指数A
5064,广发中证全指家用电器指数C
5093,中银中债7-10年期国开债指数
5106,银华农业产业股票发起式
5113,平安沪深300指数量化A
5114,平安沪深300指数量化C
5125,华宝标普中国A股红利机会指数C
5152,农银沪深300指数C
5161,华商上游产业股票
5183,博时富时中国A股指数
5188,海富通量化前锋股票C
5189,海富通量化前锋股票A
5223,广发中证基建工程指数A
5224,广发中证基建工程指数C
5235,银华食品饮料量化股票发起式
5236,银华食品饮料量化股票发起式
5239,银华文体娱乐量化股票发起式A
5240,银华文体娱乐量化股票发起式
5259,建信龙头企业股票
5267,嘉实价值精选股票
5279,华泰紫金红利低波指数发起
5303,嘉实医药健康股票A
5304,嘉实医药健康股票C
5310,广发电子信息传媒股票
5313,万家中证1000指数增强A
5314,万家中证1000指数增强C
5328,前海开源价值策略股票
5339,兴业中证国有企业指数增强
5402,广发资源优选股票
5414,创金合信国证A股指数A
5415,创金合信国证A股指数C
5457,景顺长城量化小盘股票
5495,创金合信科技成长股票A
5496,创金合信科技成长股票C
5502,华泰紫金智能量化股票发起
5530,汇添富价值多因子股票
5563,创金合信国证1000指数A
5564,创金合信国证1000指数C
5565,创金合信国证2000指数A
5566,创金合信国证2000指数C
5567,创金MSCI中国A股国际指数A
5568,创金MSCI中国A股国际指数C
5569,中融智选红利股票A
5570,中融智选红利股票C
5612,嘉实核心优势股票发起式
5620,中欧品质消费股票A
5621,中欧品质消费股票C
5623,广发中债1-3年农发债指数
5624,广发中债1-3年农发债指数
5628,汇安趋势动力股票A
5629,汇安趋势动力股票C
5633,建信中证500指数增强C
5635,博时量化多策略股票A
5636,博时量化多策略股票C
5660,嘉实资源精选股票A
5661,嘉实资源精选股票C
5662,嘉实金融精选股票A
5663,嘉实金融精选股票C
5669,前海开源公用事业股票
5676,易方达标普消费品指数C
5691,南方中证100指数C
5702,恒生前海港股通高股息指数
5707,富国港股通量化精选股票型
5763,中欧电子信息产业沪港深股票
5777,广发科技动力股票
5795,博时中证500指数增强C
5802,添富智能制造股票
5807,安信复兴100指数A
5808,安信复兴100指数C
5825,申万菱信智能驱动股票
5826,华夏潜龙精选股票
5867,国泰沪深300指数C
