trade_code,name
971,诺安新经济股票
972,新华万银策略灵活配置混合
974,安信消费医药股票
976,长城新兴产业混合
977,长城环保主题混合
978,景顺长城量化精选股票
979,景顺长城沪港深精选股票
985,嘉实逆向策略股票
988,嘉实全球互联网股票人民币
989,嘉实全球互联网股票美元现汇
990,嘉实全球互联网股票美元现钞
991,工银战略转型股票
992,广发对冲套利定期开放混合
993,华宝稳健回报混合
994,建信睿盈灵活配置混合A
995,建信睿盈灵活配置混合C
996,中银新动力股票
1000,中欧明睿新起点混合
1004,新华稳健回报混合发起式
1007,国联安鑫安灵活配置混合
1008,工银国企改革股票
1009,上投摩根安全战略股票
1014,中融融安混合
1015,华夏沪深300指数增强A
1016,华夏沪深300指数增强C
1017,泰达改革动力混合A
1018,易方达新经济混合
1021,华夏亚债中国指数A
1023,华夏亚债中国指数C
1027,前海开源中证大农业指数增强
1028,华安物联网主题股票
1036,嘉实企业变革股票
1037,国投瑞银锐意改革混合
1039,嘉实先进制造股票
1040,新华策略精选股票
1042,华夏领先股票
1043,工银美丽城镇股票
1044,嘉实新消费股票
1047,光大国企改革股票
1048,富国新兴产业股票
1054,工银新金融股票
1060,前海开源高端装备制造混合
1067,鹏华弘盛混合A
1068,华融新锐灵活配置混合
1069,华泰柏瑞消费成长混合
1070,建信信息产业股票
1071,华安媒体互联网混合
1072,华安智能装备主题股票
1073,华泰柏瑞量化绝对收益混合
1074,华泰柏瑞量化驱动混合A
1075,宝盈转型动力混合
1076,易方达改革红利混合
1088,华宝国策导向混合
1092,广发生物科技指数(QDII
1093,广发生物科技指数美元
1097,华泰柏瑞积极优选股票
1102,前海开源国家比较优势混合
1103,前海开源工业革命4.0混合
1104,华安新丝路主题股票
1105,信达澳银转型创新股票
1106,华商健康生活混合
1110,中欧瑾泉灵活配置混合A
1111,中欧瑾泉灵活配置混合C
1112,东方红中国优势混合
1115,广发聚安混合A
1116,广发聚安混合C
1117,中欧精选定期开放混合A
1118,华宝事件驱动混合
1119,国投瑞银新回报混合
1120,东方睿鑫热点挖掘混合A
1121,东方睿鑫热点挖掘混合C
1122,鹏华弘利混合A
1123,鹏华弘利混合C
1124,融通通泰保本混合C
1125,博时互联网主题灵活配置混合
1126,上投摩根卓越制造股票
1127,中银宏观策略混合
1128,宝盈新兴产业混合
1135,益民品质升级混合
1136,易方达裕如混合
